-1,1.282,0.1
-1,1.645,0.05
-1,1.960,0.025
-1,2.326,0.01
-1,2.576,0.005
-1,3.091,0.001
-1,3.291,0.0005
1,3.078,0.1
1,6.314,0.05
1,12.706,0.025
1,31.821,0.01
1,63.656,0.005
1,318.289,0.001
1,636.578,0.0005
2,1.886,0.1
2,2.920,0.05
2,4.303,0.025
2,6.965,0.01
2,9.925,0.005
2,22.328,0.001
2,31.600,0.0005
3,1.638,0.1
3,2.353,0.05
3,3.182,0.025
3,4.541,0.01
3,5.841,0.005
3,10.214,0.001
3,12.924,0.0005
4,1.533,0.1
4,2.132,0.05
4,2.776,0.025
4,3.747,0.01
4,4.604,0.005
4,7.173,0.001
4,8.610,0.0005
5,1.476,0.1
5,2.015,0.05
5,2.571,0.025
5,3.365,0.01
5,4.032,0.005
5,5.894,0.001
5,6.869,0.0005
6,1.440,0.1
6,1.943,0.05
6,2.447,0.025
6,3.143,0.01
6,3.707,0.005
6,5.208,0.001
6,5.959,0.0005
7,1.415,0.1
7,1.895,0.05
7,2.365,0.025
7,2.998,0.01
7,3.499,0.005
7,4.785,0.001
7,5.408,0.0005
8,1.397,0.1
8,1.860,0.05
8,2.306,0.025
8,2.896,0.01
8,3.355,0.005
8,4.501,0.001
8,5.041,0.0005
9,1.383,0.1
9,1.833,0.05
9,2.262,0.025
9,2.821,0.01
9,3.250,0.005
9,4.297,0.001
9,4.781,0.0005
10,1.372,0.1
0,1.812,0.05
0,2.228,0.025
0,2.764,0.01
0,3.169,0.005
0,4.144,0.001
0,4.587,0.0005
11,1.363,0.1
11,1.796,0.05
11,2.201,0.025
11,2.718,0.01
11,3.106,0.005
11,4.025,0.001
11,4.437,0.0005
12,1.356,0.1
12,1.782,0.05
12,2.179,0.025
12,2.681,0.01
12,3.055,0.005
12,3.930,0.001
12,4.318,0.0005
13,1.350,0.1
13,1.771,0.05
13,2.160,0.025
13,2.650,0.01
13,3.012,0.005
13,3.852,0.001
13,4.221,0.0005
14,1.345,0.1
14,1.761,0.05
14,2.145,0.025
14,2.624,0.01
14,2.977,0.005
14,3.787,0.001
14,4.140,0.0005
15,1.341,0.1
15,1.753,0.05
15,2.131,0.025
15,2.602,0.01
15,2.947,0.005
15,3.733,0.001
15,4.073,0.0005
16,1.337,0.1
16,1.746,0.05
16,2.120,0.025
16,2.583,0.01
16,2.921,0.005
16,3.686,0.001
16,4.015,0.0005
17,1.333,0.1
17,1.740,0.05
17,2.110,0.025
17,2.567,0.01
17,2.898,0.005
17,3.646,0.001
17,3.965,0.0005
18,1.330,0.1
18,1.734,0.05
18,2.101,0.025
18,2.552,0.01
18,2.878,0.005
18,3.610,0.001
18,3.922,0.0005
19,1.328,0.1
19,1.729,0.05
19,2.093,0.025
19,2.539,0.01
19,2.861,0.005
19,3.579,0.001
19,3.883,0.0005
20,1.325,0.1
20,1.725,0.05
20,2.086,0.025
20,2.528,0.01
20,2.845,0.005
20,3.552,0.001
20,3.850,0.0005
21,1.323,0.1
21,1.721,0.05
21,2.080,0.025
21,2.518,0.01
21,2.831,0.005
21,3.527,0.001
21,3.819,0.0005
22,1.321,0.1
22,1.717,0.05
22,2.074,0.025
22,2.508,0.01
22,2.819,0.005
22,3.505,0.001
22,3.792,0.0005
23,1.319,0.1
23,1.714,0.05
23,2.069,0.025
23,2.500,0.01
23,2.807,0.005
23,3.485,0.001
23,3.768,0.0005
24,1.318,0.1
24,1.711,0.05
24,2.064,0.025
24,2.492,0.01
24,2.797,0.005
24,3.467,0.001
24,3.745,0.0005
25,1.316,0.1
25,1.708,0.05
25,2.060,0.025
25,2.485,0.01
25,2.787,0.005
25,3.450,0.001
25,3.725,0.0005
26,1.315,0.1
26,1.706,0.05
26,2.056,0.025
26,2.479,0.01
26,2.779,0.005
26,3.435,0.001
26,3.707,0.0005
27,1.314,0.1
27,1.703,0.05
27,2.052,0.025
27,2.473,0.01
27,2.771,0.005
27,3.421,0.001
27,3.689,0.0005
28,1.313,0.1
28,1.701,0.05
28,2.048,0.025
28,2.467,0.01
28,2.763,0.005
28,3.408,0.001
28,3.674,0.0005
29,1.311,0.1
29,1.699,0.05
29,2.045,0.025
29,2.462,0.01
29,2.756,0.005
29,3.396,0.001
29,3.660,0.0005
30,1.310,0.1
30,1.697,0.05
30,2.042,0.025
30,2.457,0.01
30,2.750,0.005
30,3.385,0.001
30,3.646,0.0005
60,1.296,0.1
60,1.671,0.05
60,2.000,0.025
60,2.390,0.01
60,2.660,0.005
60,3.232,0.001
60,3.460,0.0005
120,1.289,0.1
120,1.658,0.05
120,1.980,0.025
120,2.358,0.01
120,2.617,0.005
120,3.160,0.001
120,3.373,0.0005